payment_id,order_id,payment_method,amount
PAY00144,O00144,UPI,23397.72
PAY00145,O00145,COD,25171.68
PAY00146,O00146,Card,3746.83
PAY00147,O00147,UPI,29625.5
PAY00148,O00148,UPI,4706.4
PAY00149,O00149,UPI,10542.75
PAY00150,O00150,Card,15181.05
PAY00151,O00151,COD,5226.51
PAY00152,O00152,COD,7730.96
PAY00153,O00153,COD,8387.45
PAY00154,O00154,COD,20462.9
PAY00155,O00155,COD,24974.95
PAY00156,O00156,COD,21505.36
PAY00157,O00157,COD,12129.67
PAY00158,O00158,UPI,1978.47
PAY00159,O00159,Card,10643.17
PAY00160,O00160,COD,16377.97
PAY00161,O00161,UPI,29560.24
PAY00162,O00162,UPI,11358.03
PAY00163,O00163,Net Banking,14537.84
PAY00164,O00164,UPI,4052.56
PAY00165,O00165,UPI,21865.27
PAY00166,O00166,Net Banking,3576.97
PAY00167,O00167,COD,26010.2
PAY00168,O00168,UPI,15098.55
PAY00169,O00169,COD,14207.68
PAY00170,O00170,COD,7572.02
PAY00171,O00171,Card,11967.61
PAY00172,O00172,Card,14170.76
PAY00173,O00173,Card,17927.36
PAY00174,O00174,Card,10014.81
PAY00175,O00175,COD,19641.78
PAY00176,O00176,UPI,18382.09
PAY00177,O00177,Card,25288.9
PAY00178,O00178,UPI,31329.84
PAY00179,O00179,UPI,12157.68
PAY00180,O00180,UPI,5567.18
PAY00181,O00181,Net Banking,23626.78
PAY00182,O00182,COD,11269.06
PAY00183,O00183,COD,1973.83
PAY00184,O00184,Card,1476.98
PAY00185,O00185,UPI,7552.0
PAY00186,O00186,COD,12145.77
PAY00187,O00187,Card,10044.19
PAY00188,O00188,UPI,6823.76
PAY00189,O00189,COD,6369.81
PAY00190,O00190,COD,6572.65
PAY00191,O00191,Net Banking,12607.13
PAY00192,O00192,UPI,13881.25
PAY00193,O00193,COD,18109.58
PAY00194,O00194,COD,7250.25
PAY00195,O00195,UPI,20972.22
PAY00196,O00196,UPI,13088.0
PAY00197,O00197,UPI,27987.02
PAY00198,O00198,UPI,20915.26
PAY00199,O00199,UPI,2314.56
PAY00200,O00200,Card,6099.15
PAY00201,O00201,Card,7650.05
PAY00202,O00202,COD,5086.61
PAY00203,O00203,Card,17196.61
PAY00204,O00204,UPI,16133.32
PAY00205,O00205,UPI,11979.37
PAY00206,O00206,Net Banking,22948.13
PAY00207,O00207,UPI,17531.52
PAY00208,O00208,COD,14260.71
PAY00209,O00209,Net Banking,12731.2
PAY00210,O00210,UPI,31662.47
PAY00211,O00211,Card,5407.57
PAY00212,O00212,Card,9524.32
PAY00213,O00213,Card,24179.94
PAY00214,O00214,Card,28066.44
PAY00215,O00215,Net Banking,15115.26
PAY00216,O00216,Card,17642.82
PAY00217,O00217,UPI,12360.74
PAY00218,O00218,UPI,4743.7
PAY00219,O00219,Net Banking,1470.47
PAY00220,O00220,Net Banking,21468.49
PAY00221,O00221,Net Banking,14136.51
PAY00222,O00222,Card,29966.52
PAY00223,O00223,UPI,7305.51
PAY00224,O00224,UPI,20590.61
PAY00225,O00225,UPI,21824.15
PAY00226,O00226,COD,2257.99
PAY00227,O00227,UPI,25961.87
PAY00228,O00228,UPI,18502.07
PAY00229,O00229,Card,17695.03
PAY00230,O00230,Card,1560.48
PAY00231,O00231,UPI,23816.2
PAY00232,O00232,Card,11823.54
PAY00233,O00233,Card,6173.28
PAY00234,O00234,UPI,14505.0
PAY00235,O00235,COD,10930.25
PAY00236,O00236,COD,7137.23
PAY00237,O00237,COD,8472.02
PAY00238,O00238,COD,10019.07
PAY00239,O00239,COD,9477.52
PAY00240,O00240,UPI,23922.73
PAY00241,O00241,Card,989.24
PAY00242,O00242,COD,26755.55
PAY00243,O00243,COD,10452.49
PAY00244,O00244,UPI,18878.89
PAY00245,O00245,UPI,12691.72
PAY00246,O00246,COD,20880.45
PAY00247,O00247,Card,1099.15
PAY00248,O00248,Card,13138.33
PAY00249,O00249,Card,12004.84
PAY00250,O00250,Card,8570.63
PAY00251,O00251,UPI,18426.28
PAY00252,O00252,UPI,15571.03
PAY00253,O00253,Card,12886.0
PAY00254,O00254,COD,11740.83
PAY00255,O00255,Card,19784.93
PAY00256,O00256,Card,16743.14
PAY00257,O00257,UPI,14074.08
PAY00258,O00258,Card,19861.97
PAY00259,O00259,Card,10771.9
PAY00260,O00260,Card,12111.33
PAY00261,O00261,Card,727.03
PAY00262,O00262,UPI,11646.79
PAY00263,O00263,Card,14797.38
PAY00264,O00264,Card,13555.56
PAY00265,O00265,Card,4747.84
PAY00266,O00266,UPI,15867.53
PAY00267,O00267,Net Banking,16847.29
PAY00268,O00268,UPI,14262.74
PAY00269,O00269,Net Banking,26224.48
PAY00270,O00270,Card,24683.39
PAY00271,O00271,UPI,25343.79
PAY00272,O00272,UPI,5949.1
PAY00273,O00273,Card,3154.23
PAY00274,O00274,Card,19748.14
PAY00275,O00275,UPI,16543.44
PAY00276,O00276,Net Banking,1238.29
PAY00277,O00277,UPI,4822.28
PAY00278,O00278,UPI,12462.28
PAY00279,O00279,Net Banking,24945.75
PAY00280,O00280,UPI,17385.47
PAY00281,O00281,UPI,12230.58
PAY00282,O00282,UPI,22200.03
PAY00283,O00283,UPI,15995.93
PAY00284,O00284,Card,21720.05
PAY00285,O00285,UPI,2687.65
PAY00286,O00286,COD,7867.04
PAY00287,O00287,Card,2277.52
PAY00288,O00288,Net Banking,2940.93
PAY00289,O00289,UPI,6206.59
PAY00290,O00290,Net Banking,4835.29
PAY00291,O00291,UPI,10221.52
PAY00292,O00292,Card,3786.01
PAY00293,O00293,COD,8238.75
PAY00294,O00294,Card,2476.11
PAY00295,O00295,Card,4492.0
PAY00296,O00296,UPI,11183.11
PAY00297,O00297,Card,1429.18
PAY00298,O00298,COD,8806.88
PAY00299,O00299,UPI,11517.2
PAY00300,O00300,Card,23183.01
PAY00301,O00301,COD,8678.95
PAY00302,O00302,UPI,33558.04
PAY00303,O00303,UPI,4258.13
PAY00304,O00304,UPI,12843.15
PAY00305,O00305,UPI,22896.33
PAY00306,O00306,COD,22421.26
PAY00307,O00307,Card,10716.8
PAY00308,O00308,Card,923.92
PAY00309,O00309,COD,19364.56
PAY00310,O00310,COD,9060.12
PAY00311,O00311,UPI,15804.33
PAY00312,O00312,Net Banking,20493.38
PAY00313,O00313,Card,5611.84
PAY00314,O00314,Net Banking,832.84
PAY00315,O00315,UPI,20515.72
PAY00316,O00316,UPI,30079.42
PAY00317,O00317,COD,11651.95
PAY00318,O00318,UPI,19006.35
PAY00319,O00319,Card,7083.33
PAY00320,O00320,UPI,8100.05
PAY00321,O00321,Card,10124.6
PAY00322,O00322,Card,24340.25
PAY00323,O00323,Card,4173.27
PAY00324,O00324,UPI,6499.18
PAY00325,O00325,Card,2257.99
PAY00326,O00326,UPI,5065.28
PAY00327,O00327,UPI,37379.14
PAY00328,O00328,Net Banking,6656.39
PAY00329,O00329,COD,4088.91
PAY00330,O00330,Card,19043.93
PAY00331,O00331,COD,18186.12
PAY00332,O00332,COD,4710.05
PAY00333,O00333,UPI,12873.25
PAY00334,O00334,Card,17048.6
PAY00335,O00335,Card,18256.62
PAY00336,O00336,Card,11641.89
PAY00337,O00337,COD,17691.16
PAY00338,O00338,Card,17030.15
PAY00339,O00339,UPI,7374.97
PAY00340,O00340,UPI,3463.47
PAY00341,O00341,COD,1357.72
PAY00342,O00342,COD,2330.98
PAY00343,O00343,UPI,19471.2
PAY00344,O00344,UPI,10675.1
PAY00345,O00345,COD,13333.81
PAY00346,O00346,UPI,30000.03
PAY00347,O00347,UPI,15297.4
PAY00348,O00348,COD,29925.22
PAY00349,O00349,Card,10591.12
PAY00350,O00350,Net Banking,6052.68
PAY00351,O00351,Card,6154.77
PAY00352,O00352,UPI,17817.32
PAY00353,O00353,UPI,15547.93
PAY00354,O00354,UPI,10380.14
PAY00355,O00355,Card,18194.82
PAY00356,O00356,Card,15910.29
PAY00357,O00357,UPI,7094.56
PAY00358,O00358,UPI,18803.26
PAY00359,O00359,Card,19983.59
PAY00360,O00360,UPI,11658.69
PAY00361,O00361,Card,9696.24
PAY00362,O00362,Net Banking,15440.36
PAY00363,O00363,UPI,18572.04
PAY00364,O00364,UPI,738.49
PAY00365,O00365,Card,14863.1
PAY00366,O00366,UPI,2043.56
PAY00367,O00367,COD,16008.33
PAY00368,O00368,UPI,18360.29
PAY00369,O00369,Card,22339.94
PAY00370,O00370,UPI,19628.86
PAY00371,O00371,UPI,19576.22
PAY00372,O00372,COD,12038.64
PAY00373,O00373,Card,12485.27
PAY00374,O00374,COD,14867.98
PAY00375,O00375,COD,21888.95
PAY00376,O00376,UPI,17635.55
PAY00377,O00377,UPI,11239.76
PAY00378,O00378,COD,12845.44
PAY00379,O00379,Card,3277.12
PAY00380,O00380,UPI,16305.27
PAY00381,O00381,UPI,6613.9
PAY00382,O00382,UPI,10063.33
PAY00383,O00383,Card,26348.75
PAY00384,O00384,UPI,21459.22
PAY00385,O00385,Card,18077.68
PAY00386,O00386,Card,25765.87
PAY00387,O00387,Card,22702.01
PAY00388,O00388,UPI,7726.99
PAY00389,O00389,Card,9271.03
PAY00390,O00390,Card,14344.82
PAY00391,O00391,Net Banking,8052.86
PAY00392,O00392,Net Banking,1203.23
PAY00393,O00393,COD,3666.96
PAY00394,O00394,Card,15622.11
PAY00395,O00395,UPI,11307.99
PAY00396,O00396,Card,13499.41
PAY00397,O00397,Net Banking,20611.01
PAY00398,O00398,UPI,19015.33
PAY00399,O00399,Net Banking,9500.68
PAY00400,O00400,COD,6430.63
PAY00401,O00401,Card,17893.78
PAY00402,O00402,COD,4660.95
PAY00403,O00403,UPI,25868.73
PAY00404,O00404,UPI,21758.49
PAY00405,O00405,COD,1066.27
PAY00406,O00406,Card,6822.95
PAY00407,O00407,UPI,2508.88
PAY00408,O00408,UPI,11155.99
PAY00409,O00409,UPI,26669.39
PAY00410,O00410,COD,30289.28
PAY00411,O00411,COD,8446.44
PAY00412,O00412,Card,8109.48
PAY00413,O00413,Net Banking,5553.81
PAY00414,O00414,Card,19176.9
PAY00415,O00415,Net Banking,6619.58
PAY00416,O00416,UPI,24371.43
PAY00417,O00417,Card,21255.93
PAY00418,O00418,UPI,13062.61
PAY00419,O00419,UPI,3647.3
PAY00420,O00420,Card,2830.99
PAY00421,O00421,Card,8768.98
PAY00422,O00422,UPI,6964.64
PAY00423,O00423,UPI,2217.41
PAY00424,O00424,Card,3033.26
PAY00425,O00425,UPI,27917.0
PAY00426,O00426,Net Banking,4706.4
PAY00427,O00427,COD,10275.21
PAY00428,O00428,UPI,3698.26
PAY00429,O00429,Card,15678.91
PAY00430,O00430,COD,3492.82
PAY00431,O00431,Card,7678.12
PAY00432,O00432,Card,7676.79
PAY00433,O00433,Card,9653.52
PAY00434,O00434,UPI,20839.6
PAY00435,O00435,Card,21924.67
PAY00436,O00436,Net Banking,8329.6
PAY00437,O00437,UPI,3795.17
PAY00438,O00438,UPI,25712.41
PAY00439,O00439,Card,11724.16
PAY00440,O00440,COD,20162.51
PAY00441,O00441,UPI,10893.84
PAY00442,O00442,UPI,10429.75
PAY00443,O00443,UPI,13559.0
PAY00444,O00444,Card,10997.98
PAY00445,O00445,Card,9545.93
PAY00446,O00446,Card,18003.65
PAY00447,O00447,Net Banking,1187.34
PAY00448,O00448,UPI,1255.04
PAY00449,O00449,UPI,16291.58
PAY00450,O00450,Card,32590.92
PAY00451,O00451,UPI,3858.79
PAY00452,O00452,Card,12778.85
PAY00453,O00453,UPI,3744.43
PAY00454,O00454,Card,3244.77
PAY00455,O00455,UPI,20135.11
PAY00456,O00456,Card,26068.99
PAY00457,O00457,Card,4366.23
PAY00458,O00458,Card,16166.05
PAY00459,O00459,UPI,14521.7
PAY00460,O00460,Card,15878.97
PAY00461,O00461,Net Banking,16491.29
PAY00462,O00462,COD,15946.26
PAY00463,O00463,UPI,5851.9
PAY00464,O00464,COD,3822.04
PAY00465,O00465,UPI,7557.37
PAY00466,O00466,UPI,3306.95
PAY00467,O00467,COD,13249.14
PAY00468,O00468,UPI,21712.64
PAY00469,O00469,Net Banking,7081.72
PAY00470,O00470,Card,7792.53
PAY00471,O00471,Card,27960.12
PAY00472,O00472,UPI,13032.25
PAY00473,O00473,Card,4511.83
PAY00474,O00474,UPI,14637.49
PAY00475,O00475,UPI,11571.68
PAY00476,O00476,UPI,7978.01
PAY00477,O00477,UPI,11548.27
PAY00478,O00478,UPI,4500.03
PAY00479,O00479,Net Banking,17588.74
PAY00480,O00480,Card,6507.54
PAY00481,O00481,UPI,11399.18
PAY00482,O00482,Net Banking,11508.34
PAY00483,O00483,Card,23055.81
PAY00484,O00484,Net Banking,18879.91
PAY00485,O00485,Card,7722.82
PAY00486,O00486,Card,27937.69
PAY00487,O00487,Net Banking,22092.4
PAY00488,O00488,Card,3869.36
PAY00489,O00489,UPI,17400.89
PAY00490,O00490,COD,21046.58
PAY00491,O00491,Net Banking,21924.68
PAY00492,O00492,UPI,20324.99
PAY00493,O00493,COD,1568.8
PAY00494,O00494,UPI,10307.65
PAY00495,O00495,Card,13640.61
PAY00496,O00496,Net Banking,16588.21
PAY00497,O00497,Card,8907.29
PAY00498,O00498,Net Banking,23438.23
PAY00499,O00499,Card,11738.92
PAY00500,O00500,Card,6332.18
PAY00501,O00501,Card,30156.25
PAY00502,O00502,COD,26856.94
PAY00503,O00503,UPI,23668.55
PAY00504,O00504,COD,17682.38
PAY00505,O00505,Card,5949.1
PAY00506,O00506,COD,2311.53
PAY00507,O00507,COD,17361.66
PAY00508,O00508,COD,11329.72
PAY00509,O00509,Card,4826.76
PAY00510,O00510,Card,7177.88
PAY00511,O00511,COD,36484.41
PAY00512,O00512,UPI,7013.34
PAY00513,O00513,UPI,7679.58
PAY00514,O00514,Card,3471.84
PAY00515,O00515,Card,27027.36
PAY00516,O00516,Card,16902.41
PAY00517,O00517,COD,16385.86
PAY00518,O00518,Card,8713.89
PAY00519,O00519,COD,27580.54
PAY00520,O00520,COD,33307.36
PAY00521,O00521,Net Banking,19156.35
PAY00522,O00522,COD,15306.78
PAY00523,O00523,Net Banking,24333.09
PAY00524,O00524,UPI,24813.17
PAY00525,O00525,Net Banking,11171.51
PAY00526,O00526,Net Banking,24691.24
PAY00527,O00527,UPI,32305.1
PAY00528,O00528,UPI,6665.15
PAY00529,O00529,COD,4866.1
PAY00530,O00530,COD,11932.6
PAY00531,O00531,COD,24728.68
PAY00532,O00532,UPI,29376.31
PAY00533,O00533,UPI,8536.65
PAY00534,O00534,COD,11822.26
PAY00535,O00535,UPI,3788.58
PAY00536,O00536,UPI,16420.74
PAY00537,O00537,COD,1536.21
PAY00538,O00538,UPI,21023.5
PAY00539,O00539,UPI,25392.13
PAY00540,O00540,COD,21662.7
PAY00541,O00541,Card,11302.22
PAY00542,O00542,Card,23065.19
PAY00543,O00543,Card,6184.77
PAY00544,O00544,UPI,4316.73
PAY00545,O00545,Card,10640.68
PAY00546,O00546,UPI,7746.48
PAY00547,O00547,UPI,10712.99
PAY00548,O00548,UPI,9176.15
PAY00549,O00549,Net Banking,5033.44
PAY00550,O00550,Card,3277.12
PAY00551,O00551,Card,2525.03
PAY00552,O00552,Card,3355.58
PAY00553,O00553,Net Banking,5889.14
PAY00554,O00554,Card,9444.33
PAY00555,O00555,Net Banking,5722.43
PAY00556,O00556,UPI,3863.5
PAY00557,O00557,Card,33706.65
PAY00558,O00558,Net Banking,5910.92
PAY00559,O00559,Net Banking,26372.28
PAY00560,O00560,COD,1978.47
PAY00561,O00561,COD,17733.68
PAY00562,O00562,UPI,3507.2
PAY00563,O00563,UPI,9936.74
PAY00564,O00564,UPI,6571.32
PAY00565,O00565,Card,3409.72
PAY00566,O00566,Net Banking,40875.34
PAY00567,O00567,Card,13415.94
PAY00568,O00568,UPI,9696.97
PAY00569,O00569,UPI,24836.87
PAY00570,O00570,UPI,14272.52
PAY00571,O00571,Card,9601.31
PAY00572,O00572,Net Banking,19603.73
PAY00573,O00573,Net Banking,12310.3
PAY00574,O00574,COD,14766.91
PAY00575,O00575,Card,19050.24
PAY00576,O00576,UPI,13357.5
PAY00577,O00577,Card,2802.83
PAY00578,O00578,UPI,18791.72
PAY00579,O00579,Card,10579.6
PAY00580,O00580,COD,4555.03
PAY00581,O00581,Card,9278.64
PAY00582,O00582,COD,12704.99
PAY00583,O00583,Card,10015.85
PAY00584,O00584,Card,6792.11
PAY00585,O00585,UPI,13376.08
PAY00586,O00586,Net Banking,1300.99
PAY00587,O00587,Net Banking,19918.66
PAY00588,O00588,Net Banking,20136.66
PAY00589,O00589,Card,7325.42
PAY00590,O00590,UPI,7715.65
PAY00591,O00591,UPI,16761.94
PAY00592,O00592,UPI,4661.95
PAY00593,O00593,Card,10071.41
PAY00594,O00594,UPI,2666.96
PAY00595,O00595,Net Banking,16160.24
PAY00596,O00596,Card,11284.05
PAY00597,O00597,Card,31983.86
PAY00598,O00598,COD,14566.01
PAY00599,O00599,Net Banking,6811.86
PAY00600,O00600,UPI,26273.59
PAY00601,O00601,Card,8884.7
PAY00602,O00602,Card,12170.63
PAY00603,O00603,COD,14035.54
PAY00604,O00604,UPI,11616.9
PAY00605,O00605,UPI,30005.9
PAY00606,O00606,UPI,10246.65
PAY00607,O00607,UPI,19239.54
PAY00608,O00608,Net Banking,7252.94
PAY00609,O00609,UPI,9175.28
PAY00610,O00610,UPI,14611.6
PAY00611,O00611,UPI,26596.25
PAY00612,O00612,Card,4703.73
PAY00613,O00613,Net Banking,5120.04
PAY00614,O00614,UPI,6090.62
PAY00615,O00615,Card,1415.5
PAY00616,O00616,UPI,21492.94
PAY00617,O00617,UPI,18031.39
PAY00618,O00618,COD,2198.3
PAY00619,O00619,Card,34586.09
PAY00620,O00620,UPI,6568.49
PAY00621,O00621,Net Banking,32402.88
PAY00622,O00622,UPI,3369.99
PAY00623,O00623,COD,16378.22
PAY00624,O00624,Net Banking,10524.82
PAY00625,O00625,Card,3095.05
PAY00626,O00626,UPI,10737.91
PAY00627,O00627,Card,6149.9
PAY00628,O00628,UPI,21028.15
PAY00629,O00629,Net Banking,13081.65
PAY00630,O00630,COD,24322.0
PAY00631,O00631,UPI,3748.11
PAY00632,O00632,Card,7045.6
PAY00633,O00633,UPI,28455.34
PAY00634,O00634,Card,16247.36
PAY00635,O00635,Net Banking,9370.28
PAY00636,O00636,UPI,10116.44
PAY00637,O00637,UPI,8331.44
PAY00638,O00638,Card,9945.38
PAY00639,O00639,Card,6695.16
PAY00640,O00640,COD,5621.81
PAY00641,O00641,UPI,3763.32
PAY00642,O00642,Net Banking,16919.45
PAY00643,O00643,UPI,28931.39
PAY00644,O00644,UPI,8514.09
PAY00645,O00645,Card,10266.1
PAY00646,O00646,Card,26562.34
PAY00647,O00647,UPI,9591.44
PAY00648,O00648,UPI,24207.49
PAY00649,O00649,COD,15496.73
PAY00650,O00650,COD,4454.13
PAY00651,O00651,Card,17130.46
PAY00652,O00652,UPI,19686.17
PAY00653,O00653,Card,13612.09
PAY00654,O00654,Card,4169.17
PAY00655,O00655,Card,16246.2
PAY00656,O00656,COD,4676.94
PAY00657,O00657,Card,15645.76
PAY00658,O00658,UPI,7680.06
PAY00659,O00659,Card,15051.24
PAY00660,O00660,Card,6571.32
PAY00661,O00661,UPI,2311.53
PAY00662,O00662,Card,16797.65
PAY00663,O00663,Card,4753.43
PAY00664,O00664,Card,17848.32
PAY00665,O00665,UPI,1242.9
PAY00666,O00666,Card,18370.32
PAY00667,O00667,COD,14773.58
PAY00668,O00668,Net Banking,12965.29
PAY00669,O00669,UPI,25049.1
PAY00670,O00670,COD,30592.05
PAY00671,O00671,UPI,17167.45
PAY00672,O00672,UPI,11874.92
PAY00673,O00673,UPI,14398.46
PAY00674,O00674,Card,10751.14
PAY00675,O00675,COD,21436.97
PAY00676,O00676,COD,5638.08
PAY00677,O00677,UPI,11464.9
PAY00678,O00678,Card,2217.41
PAY00679,O00679,UPI,9608.45
PAY00680,O00680,UPI,12433.21
PAY00681,O00681,UPI,21527.7
PAY00682,O00682,COD,28861.74
PAY00683,O00683,Card,2439.95
PAY00684,O00684,UPI,19586.57
PAY00685,O00685,UPI,11832.12
PAY00686,O00686,UPI,1315.68
PAY00687,O00687,UPI,6743.64
PAY00688,O00688,UPI,17791.7
PAY00689,O00689,UPI,11427.9
PAY00690,O00690,Card,10514.72
PAY00691,O00691,Net Banking,14530.93
PAY00692,O00692,UPI,13347.17
PAY00693,O00693,Card,2522.3
PAY00694,O00694,UPI,18493.02
PAY00695,O00695,UPI,19914.25
PAY00696,O00696,UPI,21139.32
PAY00697,O00697,Card,9453.45
PAY00698,O00698,UPI,7146.56
PAY00699,O00699,COD,24415.63
PAY00700,O00700,Card,9382.72
PAY00701,O00701,UPI,10551.28
PAY00702,O00702,Net Banking,3666.96
PAY00703,O00703,Card,8020.53
PAY00704,O00704,COD,14480.28
PAY00705,O00705,COD,9662.94
PAY00706,O00706,Card,5136.74
PAY00707,O00707,UPI,3563.3
PAY00708,O00708,Net Banking,20688.18
PAY00709,O00709,COD,20258.03
PAY00710,O00710,COD,24837.43
PAY00711,O00711,UPI,12742.19
PAY00712,O00712,COD,18735.31
PAY00713,O00713,UPI,31706.61
PAY00714,O00714,UPI,15354.98
PAY00715,O00715,Card,22029.34
PAY00716,O00716,UPI,23741.78
PAY00717,O00717,UPI,11988.9
PAY00718,O00718,Net Banking,16940.65
PAY00719,O00719,Card,34121.73
PAY00720,O00720,UPI,15872.24
PAY00721,O00721,Card,17670.1
PAY00722,O00722,COD,18323.57
PAY00723,O00723,COD,11553.39
PAY00724,O00724,COD,4931.02
PAY00725,O00725,UPI,13477.78
PAY00726,O00726,COD,22377.89
PAY00727,O00727,Card,14859.95
PAY00728,O00728,COD,3361.8
PAY00729,O00729,UPI,14186.01
PAY00730,O00730,Card,4375.66
PAY00731,O00731,Card,7493.72
PAY00732,O00732,COD,6164.09
PAY00733,O00733,COD,2054.59
PAY00734,O00734,Card,21711.92
PAY00735,O00735,Card,26830.39
PAY00736,O00736,Card,1930.03
PAY00737,O00737,Card,8372.5
PAY00738,O00738,COD,22415.01
PAY00739,O00739,UPI,17731.07
PAY00740,O00740,UPI,20272.1
PAY00741,O00741,Net Banking,9175.8
PAY00742,O00742,Net Banking,12507.8
PAY00743,O00743,COD,8992.39
PAY00744,O00744,UPI,3951.74
PAY00745,O00745,UPI,11374.27
PAY00746,O00746,Card,3009.37
PAY00747,O00747,UPI,19536.19
