customer_id,order_count,revenue,avg_order_value,customer_type,segment
C0067,1,4751.64,4751.64,One-time,One-time
C0068,1,13936.19,13936.19,One-time,One-time
C0069,1,7124.0,7124.0,One-time,One-time
C0070,1,12650.74,12650.74,One-time,One-time
C0071,4,69866.14,17466.535,Repeat,Loyal
C0072,3,43811.89,14603.963333333333,Repeat,Loyal
C0073,2,44349.9,22174.95,Repeat,Regular
C0074,1,19872.82,19872.82,One-time,One-time
C0075,1,6653.99,6653.99,One-time,One-time
C0076,2,20965.16,10482.58,Repeat,Regular
C0077,3,37076.25,12358.75,Repeat,Loyal
C0078,3,23778.68,7926.2266666666665,Repeat,Loyal
C0079,3,47319.939999999995,15773.313333333332,Repeat,Loyal
C0080,5,63596.490000000005,12719.298,Repeat,Champions
C0081,4,41973.18,10493.295,Repeat,Loyal
C0082,2,20695.02,10347.51,Repeat,Regular
C0083,2,15797.57,7898.785,Repeat,Regular
C0084,2,21224.030000000002,10612.015000000001,Repeat,Regular
C0085,2,23851.649999999998,11925.824999999999,Repeat,Regular
C0086,2,16513.0,8256.5,Repeat,Regular
C0087,2,5113.76,2556.88,Repeat,Regular
C0088,1,8514.09,8514.09,One-time,One-time
C0089,3,54759.56,18253.186666666665,Repeat,Loyal
C0090,3,22922.379999999997,7640.793333333332,Repeat,Loyal
C0091,2,31371.6,15685.8,Repeat,Regular
C0092,2,44586.34,22293.17,Repeat,Regular
C0093,1,5146.18,5146.18,One-time,One-time
C0094,2,38240.53999999999,19120.269999999997,Repeat,Regular
C0095,1,15307.61,15307.61,One-time,One-time
C0096,1,17867.27,17867.27,One-time,One-time
C0098,4,71567.54000000001,17891.885000000002,Repeat,Loyal
C0100,2,31614.15,15807.075,Repeat,Regular
C0101,2,29653.03,14826.515,Repeat,Regular
C0102,4,102524.84,25631.21,Repeat,Loyal
C0103,3,27403.18,9134.393333333333,Repeat,Loyal
C0104,5,49234.840000000004,9846.968,Repeat,Champions
C0105,1,14035.17,14035.17,One-time,One-time
C0106,1,14488.11,14488.11,One-time,One-time
C0107,4,36288.33,9072.0825,Repeat,Loyal
C0108,2,33073.36,16536.68,Repeat,Regular
C0109,2,21901.59,10950.795,Repeat,Regular
C0110,2,5290.33,2645.165,Repeat,Regular
C0111,2,16288.5,8144.25,Repeat,Regular
C0112,5,48767.659999999996,9753.532,Repeat,Champions
C0113,5,54504.31,10900.862,Repeat,Champions
C0114,3,19593.64,6531.213333333333,Repeat,Loyal
C0116,2,16876.16,8438.08,Repeat,Regular
C0117,6,114156.49,19026.08166666667,Repeat,Champions
C0119,1,2257.99,2257.99,One-time,One-time
C0120,1,14530.93,14530.93,One-time,One-time
C0121,2,6740.34,3370.17,Repeat,Regular
C0122,1,17767.72,17767.72,One-time,One-time
C0123,2,45999.32,22999.66,Repeat,Regular
C0124,2,27560.28,13780.14,Repeat,Regular
C0125,6,78910.33,13151.721666666666,Repeat,Champions
C0126,1,17305.99,17305.99,One-time,One-time
C0127,3,44762.21,14920.736666666666,Repeat,Loyal
C0128,1,20204.9,20204.9,One-time,One-time
C0129,2,16926.15,8463.075,Repeat,Regular
C0130,5,64100.4,12820.08,Repeat,Champions
C0131,1,14820.71,14820.71,One-time,One-time
C0132,2,12332.42,6166.21,Repeat,Regular
C0133,7,79106.06,11300.865714285714,Repeat,Champions
C0134,1,10361.66,10361.66,One-time,One-time
C0135,1,6665.15,6665.15,One-time,One-time
C0136,5,80017.94,16003.588,Repeat,Champions
C0137,3,31981.199999999997,10660.4,Repeat,Loyal
C0138,3,50156.82,16718.94,Repeat,Loyal
C0139,1,20544.19,20544.19,One-time,One-time
C0141,3,40947.36,13649.12,Repeat,Loyal
C0142,5,25262.7,5052.54,Repeat,Champions
C0143,3,29368.43,9789.476666666667,Repeat,Loyal
C0147,1,4195.4,4195.4,One-time,One-time
C0149,4,95909.05,23977.2625,Repeat,Loyal
C0150,1,10301.64,10301.64,One-time,One-time
C0151,1,18505.66,18505.66,One-time,One-time
C0152,2,30813.670000000002,15406.835000000001,Repeat,Regular
C0153,2,56206.66,28103.33,Repeat,Regular
C0154,2,46605.92,23302.96,Repeat,Regular
C0155,1,23816.2,23816.2,One-time,One-time
C0156,1,34808.14,34808.14,One-time,One-time
C0157,4,67778.5,16944.625,Repeat,Loyal
C0158,2,24680.52,12340.26,Repeat,Regular
C0159,2,12297.12,6148.56,Repeat,Regular
C0160,3,38015.689999999995,12671.896666666666,Repeat,Loyal
C0161,5,61658.619999999995,12331.723999999998,Repeat,Champions
C0163,1,17635.55,17635.55,One-time,One-time
C0164,1,25647.4,25647.4,One-time,One-time
C0165,2,14555.890000000001,7277.945000000001,Repeat,Regular
C0166,2,5865.780000000001,2932.8900000000003,Repeat,Regular
C0167,3,9075.73,3025.2433333333333,Repeat,Loyal
C0168,4,53965.39,13491.3475,Repeat,Loyal
C0169,5,102078.66,20415.732,Repeat,Champions
C0170,1,7487.8,7487.8,One-time,One-time
C0171,2,31815.85,15907.925,Repeat,Regular
C0172,1,20410.62,20410.62,One-time,One-time
C0173,2,25103.01,12551.505,Repeat,Regular
C0174,2,37863.69,18931.845,Repeat,Regular
C0175,2,15407.31,7703.655,Repeat,Regular
C0176,2,30079.190000000002,15039.595000000001,Repeat,Regular
C0177,2,37617.28,18808.64,Repeat,Regular
C0178,3,35834.76,11944.92,Repeat,Loyal
C0179,5,64557.2,12911.439999999999,Repeat,Champions
C0180,4,65730.45999999999,16432.614999999998,Repeat,Loyal
C0181,2,12741.22,6370.61,Repeat,Regular
C0182,2,24116.719999999998,12058.359999999999,Repeat,Regular
C0183,6,113003.2,18833.866666666665,Repeat,Champions
C0184,2,13835.060000000001,6917.530000000001,Repeat,Regular
C0185,3,41765.78,13921.926666666666,Repeat,Loyal
C0186,2,35840.44,17920.22,Repeat,Regular
C0187,4,31139.489999999998,7784.8724999999995,Repeat,Loyal
C0188,1,16762.79,16762.79,One-time,One-time
C0189,1,12176.27,12176.27,One-time,One-time
C0190,4,45063.009999999995,11265.752499999999,Repeat,Loyal
C0191,1,27917.0,27917.0,One-time,One-time
C0192,1,13733.24,13733.24,One-time,One-time
C0193,3,26464.2,8821.4,Repeat,Loyal
C0194,1,23478.07,23478.07,One-time,One-time
C0195,4,86660.04,21665.01,Repeat,Loyal
C0196,8,99181.07,12397.63375,Repeat,Champions
C0197,3,13453.079999999998,4484.36,Repeat,Loyal
C0198,1,6052.68,6052.68,One-time,One-time
C0199,4,73756.14,18439.035,Repeat,Loyal
C0200,2,29564.96,14782.48,Repeat,Regular
C0201,1,18162.99,18162.99,One-time,One-time
C0202,3,45506.79,15168.93,Repeat,Loyal
C0203,1,11979.53,11979.53,One-time,One-time
C0205,2,29397.02,14698.51,Repeat,Regular
C0206,4,69464.51,17366.1275,Repeat,Loyal
C0207,3,69167.04000000001,23055.680000000004,Repeat,Loyal
C0208,6,102731.63,17121.938333333335,Repeat,Champions
C0209,2,26104.91,13052.455,Repeat,Regular
C0210,3,58606.67,19535.556666666667,Repeat,Loyal
C0211,3,22354.95,7451.650000000001,Repeat,Loyal
C0212,2,5224.9,2612.45,Repeat,Regular
C0213,1,8446.44,8446.44,One-time,One-time
C0214,2,21267.64,10633.82,Repeat,Regular
C0215,2,12887.24,6443.62,Repeat,Regular
C0216,1,16385.86,16385.86,One-time,One-time
C0217,3,51439.600000000006,17146.533333333336,Repeat,Loyal
C0218,1,8238.76,8238.76,One-time,One-time
C0219,3,44362.33,14787.443333333335,Repeat,Loyal
C0220,1,1263.86,1263.86,One-time,One-time
C0221,4,48679.42,12169.855,Repeat,Loyal
C0222,4,53782.41,13445.6025,Repeat,Loyal
C0223,1,11608.23,11608.23,One-time,One-time
C0224,2,43314.979999999996,21657.489999999998,Repeat,Regular
C0225,4,58293.71,14573.4275,Repeat,Loyal
C0227,2,31046.05,15523.025,Repeat,Regular
C0229,2,12851.25,6425.625,Repeat,Regular
C0230,4,32051.170000000002,8012.7925000000005,Repeat,Loyal
C0231,4,65172.96,16293.24,Repeat,Loyal
C0232,5,86322.61,17264.522,Repeat,Champions
C0233,2,13370.05,6685.025,Repeat,Regular
C0234,2,5455.51,2727.755,Repeat,Regular
C0235,2,25593.190000000002,12796.595000000001,Repeat,Regular
C0236,2,32207.83,16103.915,Repeat,Regular
C0238,3,57176.170000000006,19058.723333333335,Repeat,Loyal
C0239,4,60461.68,15115.42,Repeat,Loyal
C0240,2,24368.949999999997,12184.474999999999,Repeat,Regular
C0241,1,26224.48,26224.48,One-time,One-time
C0242,4,64168.4,16042.1,Repeat,Loyal
C0243,3,57921.28,19307.093333333334,Repeat,Loyal
C0244,1,4346.43,4346.43,One-time,One-time
C0245,2,21442.48,10721.24,Repeat,Regular
C0246,3,70202.7,23400.899999999998,Repeat,Loyal
C0247,9,159965.14,17773.904444444444,Repeat,Champions
C0249,2,13064.720000000001,6532.360000000001,Repeat,Regular
C0250,3,24583.95,8194.65,Repeat,Loyal
C0251,5,52279.41,10455.882000000001,Repeat,Champions
C0252,1,9060.12,9060.12,One-time,One-time
C0253,5,47669.32,9533.864,Repeat,Champions
C0254,2,28472.760000000002,14236.380000000001,Repeat,Regular
C0255,2,12094.93,6047.465,Repeat,Regular
C0256,1,2313.13,2313.13,One-time,One-time
C0257,2,41811.1,20905.55,Repeat,Regular
C0258,2,27364.75,13682.375,Repeat,Regular
C0259,5,94810.52,18962.104,Repeat,Champions
C0260,2,15701.57,7850.785,Repeat,Regular
C0261,1,6059.2,6059.2,One-time,One-time
C0262,2,30016.4,15008.2,Repeat,Regular
C0263,3,59683.16,19894.38666666667,Repeat,Loyal
C0264,3,41511.08,13837.026666666667,Repeat,Loyal
C0265,2,17340.39,8670.195,Repeat,Regular
C0266,4,50054.79,12513.6975,Repeat,Loyal
C0267,5,62063.32,12412.664,Repeat,Champions
C0268,2,38550.31,19275.155,Repeat,Regular
C0269,4,65763.23999999999,16440.809999999998,Repeat,Loyal
C0270,1,9745.4,9745.4,One-time,One-time
C0271,3,37992.15,12664.050000000001,Repeat,Loyal
C0272,4,38540.45,9635.1125,Repeat,Loyal
C0273,1,14665.58,14665.58,One-time,One-time
C0274,2,5661.77,2830.885,Repeat,Regular
C0275,2,25387.7,12693.85,Repeat,Regular
C0276,3,16680.93,5560.31,Repeat,Loyal
C0277,1,22713.06,22713.06,One-time,One-time
C0278,1,17983.8,17983.8,One-time,One-time
C0279,3,34790.6,11596.866666666667,Repeat,Loyal
C0280,1,16078.8,16078.8,One-time,One-time
C0281,2,32344.07,16172.035,Repeat,Regular
C0282,3,27377.34,9125.78,Repeat,Loyal
C0283,2,26835.13,13417.565,Repeat,Regular
C0284,2,32661.86,16330.93,Repeat,Regular
C0285,3,32163.99,10721.33,Repeat,Loyal
C0286,3,40640.8,13546.933333333334,Repeat,Loyal
C0288,4,57531.840000000004,14382.960000000001,Repeat,Loyal
C0289,2,45029.96,22514.98,Repeat,Regular
C0290,2,20216.59,10108.295,Repeat,Regular
C0291,1,13209.44,13209.44,One-time,One-time
C0292,4,68472.43,17118.1075,Repeat,Loyal
C0293,5,78893.02,15778.604000000001,Repeat,Champions
C0294,3,53420.15,17806.716666666667,Repeat,Loyal
C0295,1,2054.59,2054.59,One-time,One-time
C0297,2,14427.21,7213.605,Repeat,Regular
C0298,1,11464.9,11464.9,One-time,One-time
C0299,3,43736.31,14578.769999999999,Repeat,Loyal
C0300,4,54735.5,13683.875,Repeat,Loyal
C0301,2,42783.67,21391.835,Repeat,Regular
C0302,3,32287.86,10762.62,Repeat,Loyal
C0303,4,48225.9,12056.475,Repeat,Loyal
C0304,4,56224.22,14056.055,Repeat,Loyal
C0305,1,9885.29,9885.29,One-time,One-time
C0306,3,42835.8,14278.6,Repeat,Loyal
C0307,3,59154.579999999994,19718.193333333333,Repeat,Loyal
C0308,1,11891.45,11891.45,One-time,One-time
C0309,2,18792.22,9396.11,Repeat,Regular
C0310,3,22230.61,7410.203333333334,Repeat,Loyal
C0311,2,22924.57,11462.285,Repeat,Regular
C0312,3,59222.66,19740.88666666667,Repeat,Loyal
C0313,1,23780.38,23780.38,One-time,One-time
C0314,1,13640.61,13640.61,One-time,One-time
C0316,4,57345.31,14336.3275,Repeat,Loyal
C0317,4,39749.37,9937.3425,Repeat,Loyal
C0318,4,64241.76,16060.44,Repeat,Loyal
C0320,4,45063.39,11265.8475,Repeat,Loyal
C0321,1,18382.09,18382.09,One-time,One-time
C0322,4,78723.03,19680.7575,Repeat,Loyal
C0323,6,69393.68,11565.613333333333,Repeat,Champions
C0324,1,29560.24,29560.24,One-time,One-time
C0325,1,14035.54,14035.54,One-time,One-time
C0326,3,25541.08,8513.693333333335,Repeat,Loyal
C0327,6,52692.97,8782.161666666667,Repeat,Champions
C0328,2,39922.649999999994,19961.324999999997,Repeat,Regular
C0329,1,22200.03,22200.03,One-time,One-time
C0330,5,68953.54000000001,13790.708000000002,Repeat,Champions
C0331,3,25969.57,8656.523333333333,Repeat,Loyal
C0333,1,12378.13,12378.13,One-time,One-time
C0334,2,17946.760000000002,8973.380000000001,Repeat,Regular
C0335,5,49163.84,9832.768,Repeat,Champions
C0336,4,47663.880000000005,11915.970000000001,Repeat,Loyal
C0337,2,24533.949999999997,12266.974999999999,Repeat,Regular
C0338,2,26262.4,13131.2,Repeat,Regular
C0339,7,67010.19,9572.884285714286,Repeat,Champions
C0340,1,1429.18,1429.18,One-time,One-time
C0341,1,10099.31,10099.31,One-time,One-time
C0342,3,33103.78,11034.593333333332,Repeat,Loyal
C0343,1,6691.06,6691.06,One-time,One-time
C0344,3,27100.87,9033.623333333333,Repeat,Loyal
C0345,4,43852.25,10963.0625,Repeat,Loyal
C0346,3,16122.58,5374.193333333334,Repeat,Loyal
C0347,2,31984.01,15992.005,Repeat,Regular
C0348,5,76058.84,15211.768,Repeat,Champions
C0349,3,39262.06,13087.353333333333,Repeat,Loyal
C0350,3,85070.58,28356.86,Repeat,Loyal
C0351,2,17295.16,8647.58,Repeat,Regular
C0352,3,63356.72,21118.906666666666,Repeat,Loyal
C0353,5,126406.53,25281.306,Repeat,Champions
C0354,3,24659.519999999997,8219.839999999998,Repeat,Loyal
C0355,2,38815.77,19407.885,Repeat,Regular
C0356,3,42499.93,14166.643333333333,Repeat,Loyal
C0357,4,55571.75,13892.9375,Repeat,Loyal
C0358,4,23171.91,5792.9775,Repeat,Loyal
C0359,5,82321.44,16464.288,Repeat,Champions
C0361,4,35418.58,8854.645,Repeat,Loyal
C0362,1,8907.29,8907.29,One-time,One-time
C0363,4,39603.94,9900.985,Repeat,Loyal
C0364,2,12818.480000000001,6409.240000000001,Repeat,Regular
C0365,1,17893.78,17893.78,One-time,One-time
C0366,2,29603.71,14801.855,Repeat,Regular
C0367,4,61806.28999999999,15451.572499999998,Repeat,Loyal
C0368,1,30005.9,30005.9,One-time,One-time
C0369,4,64062.16,16015.54,Repeat,Loyal
C0370,3,60690.0,20230.0,Repeat,Loyal
C0371,2,16873.93,8436.965,Repeat,Regular
C0372,2,11946.64,5973.32,Repeat,Regular
C0373,2,18110.04,9055.02,Repeat,Regular
C0374,6,105685.35,17614.225000000002,Repeat,Champions
C0375,2,11196.060000000001,5598.030000000001,Repeat,Regular
C0376,4,32794.18,8198.545,Repeat,Loyal
C0377,2,22298.309999999998,11149.154999999999,Repeat,Regular
C0378,4,55589.509999999995,13897.377499999999,Repeat,Loyal
C0379,2,16219.55,8109.775,Repeat,Regular
C0380,7,80339.45,11477.064285714285,Repeat,Champions
C0381,1,33307.36,33307.36,One-time,One-time
C0382,2,35748.58,17874.29,Repeat,Regular
C0384,3,30334.97,10111.656666666668,Repeat,Loyal
C0385,4,67536.19,16884.0475,Repeat,Loyal
C0386,2,6230.389999999999,3115.1949999999997,Repeat,Regular
C0388,1,17588.74,17588.74,One-time,One-time
C0390,3,25503.51,8501.17,Repeat,Loyal
C0391,3,37376.53,12458.843333333332,Repeat,Loyal
C0393,2,38697.5,19348.75,Repeat,Regular
C0394,3,43780.43,14593.476666666667,Repeat,Loyal
C0395,4,36670.75,9167.6875,Repeat,Loyal
C0396,2,18209.73,9104.865,Repeat,Regular
C0397,4,56493.71,14123.4275,Repeat,Loyal
C0398,1,23260.4,23260.4,One-time,One-time
C0399,2,20727.28,10363.64,Repeat,Regular
C0400,2,60590.35,30295.175,Repeat,Regular
C0401,3,34785.92,11595.306666666665,Repeat,Loyal
C0402,2,8795.31,4397.655,Repeat,Regular
C0403,1,30592.05,30592.05,One-time,One-time
C0404,2,28167.09,14083.545,Repeat,Regular
C0405,1,10716.8,10716.8,One-time,One-time
C0406,4,48433.85,12108.4625,Repeat,Loyal
C0407,2,37172.41,18586.205,Repeat,Regular
C0408,2,18221.09,9110.545,Repeat,Regular
C0409,5,55818.520000000004,11163.704000000002,Repeat,Champions
C0410,4,40418.229999999996,10104.557499999999,Repeat,Loyal
C0413,2,25285.85,12642.925,Repeat,Regular
C0414,2,14744.74,7372.37,Repeat,Regular
C0415,1,27261.93,27261.93,One-time,One-time
C0416,3,25976.88,8658.960000000001,Repeat,Loyal
C0417,2,27328.45,13664.225,Repeat,Regular
C0418,4,41273.42,10318.355,Repeat,Loyal
C0419,2,31920.89,15960.445,Repeat,Regular
C0420,4,49630.38,12407.595,Repeat,Loyal
C0421,1,19586.57,19586.57,One-time,One-time
C0423,5,39698.17,7939.634,Repeat,Champions
C0424,3,42865.600000000006,14288.533333333335,Repeat,Loyal
C0425,2,23677.02,11838.51,Repeat,Regular
C0426,1,10737.91,10737.91,One-time,One-time
C0428,2,18960.22,9480.11,Repeat,Regular
C0429,7,108321.91,15474.558571428572,Repeat,Champions
C0430,2,35104.55,17552.275,Repeat,Regular
C0431,4,37176.09,9294.0225,Repeat,Loyal
C0433,3,45008.98,15002.993333333334,Repeat,Loyal
C0434,4,54055.88,13513.97,Repeat,Loyal
C0435,7,103237.56,14748.222857142857,Repeat,Champions
C0436,1,21470.8,21470.8,One-time,One-time
C0437,1,8536.65,8536.65,One-time,One-time
C0438,1,16306.59,16306.59,One-time,One-time
C0439,2,38698.520000000004,19349.260000000002,Repeat,Regular
C0440,2,29453.14,14726.57,Repeat,Regular
C0441,3,32617.77,10872.59,Repeat,Loyal
C0442,3,32755.0,10918.333333333334,Repeat,Loyal
C0443,6,41286.14,6881.0233333333335,Repeat,Champions
C0444,3,34445.94,11481.980000000001,Repeat,Loyal
C0446,1,14065.07,14065.07,One-time,One-time
C0447,2,27302.19,13651.095,Repeat,Regular
C0448,2,34334.409999999996,17167.204999999998,Repeat,Regular
C0449,4,50865.36,12716.34,Repeat,Loyal
C0451,4,45193.78,11298.445,Repeat,Loyal
C0452,5,68342.2,13668.439999999999,Repeat,Champions
C0453,1,2406.47,2406.47,One-time,One-time
C0454,3,63777.1,21259.033333333333,Repeat,Loyal
C0455,1,17719.0,17719.0,One-time,One-time
C0456,4,61359.67,15339.9175,Repeat,Loyal
C0457,3,63366.19,21122.063333333335,Repeat,Loyal
C0459,2,10917.9,5458.95,Repeat,Regular
C0460,1,12958.9,12958.9,One-time,One-time
C0461,5,47228.369999999995,9445.673999999999,Repeat,Champions
C0466,4,73137.92,18284.48,Repeat,Loyal
C0467,2,10182.69,5091.345,Repeat,Regular
C0468,1,25777.79,25777.79,One-time,One-time
C0470,1,18363.5,18363.5,One-time,One-time
C0471,2,21533.03,10766.515,Repeat,Regular
C0472,1,18458.93,18458.93,One-time,One-time
C0473,1,8146.5,8146.5,One-time,One-time
C0474,3,60856.89,20285.63,Repeat,Loyal
C0475,1,4894.92,4894.92,One-time,One-time
C0476,3,21019.89,7006.63,Repeat,Loyal
C0477,4,26471.1,6617.775,Repeat,Loyal
C0478,2,54332.73,27166.365,Repeat,Regular
C0479,2,22404.42,11202.21,Repeat,Regular
C0480,5,77163.08,15432.616,Repeat,Champions
C0481,4,45001.229999999996,11250.307499999999,Repeat,Loyal
C0482,4,43449.35,10862.3375,Repeat,Loyal
C0483,5,56639.89,11327.978,Repeat,Champions
C0484,3,33506.28,11168.76,Repeat,Loyal
C0485,3,30438.969999999998,10146.323333333332,Repeat,Loyal
C0486,1,5075.04,5075.04,One-time,One-time
C0487,1,1568.8,1568.8,One-time,One-time
C0488,2,68773.84,34386.92,Repeat,Regular
C0489,4,46053.21,11513.3025,Repeat,Loyal
C0490,2,35309.47,17654.735,Repeat,Regular
C0491,1,24974.95,24974.95,One-time,One-time
C0492,5,86773.13,17354.626,Repeat,Champions
C0494,2,4758.8,2379.4,Repeat,Regular
C0495,2,40268.41,20134.205,Repeat,Regular
C0496,4,51016.020000000004,12754.005000000001,Repeat,Loyal
C0498,2,27484.96,13742.48,Repeat,Regular
C0499,3,43854.71,14618.236666666666,Repeat,Loyal
C0500,2,16889.12,8444.56,Repeat,Regular
C0502,2,21825.84,10912.92,Repeat,Regular
C0503,3,18887.5,6295.833333333333,Repeat,Loyal
C0504,2,26993.04,13496.52,Repeat,Regular
C0505,4,93730.48,23432.62,Repeat,Loyal
C0506,4,43132.380000000005,10783.095000000001,Repeat,Loyal
C0507,4,44681.31,11170.3275,Repeat,Loyal
C0509,2,35726.35,17863.175,Repeat,Regular
C0510,1,4706.4,4706.4,One-time,One-time
C0512,1,10279.66,10279.66,One-time,One-time
C0513,5,71463.89,14292.778,Repeat,Champions
C0514,1,868.81,868.81,One-time,One-time
C0515,1,5118.66,5118.66,One-time,One-time
C0516,1,7650.05,7650.05,One-time,One-time
C0517,3,54436.26,18145.420000000002,Repeat,Loyal
C0518,4,35423.14,8855.785,Repeat,Loyal
C0520,2,6833.11,3416.555,Repeat,Regular
C0521,3,40760.06,13586.686666666666,Repeat,Loyal
C0522,2,34444.340000000004,17222.170000000002,Repeat,Regular
C0523,2,6576.34,3288.17,Repeat,Regular
C0524,2,19214.550000000003,9607.275000000001,Repeat,Regular
C0525,2,23194.65,11597.325,Repeat,Regular
C0526,1,25909.43,25909.43,One-time,One-time
C0527,2,19310.84,9655.42,Repeat,Regular
C0528,5,66660.52,13332.104000000001,Repeat,Champions
C0529,5,60164.94,12032.988000000001,Repeat,Champions
C0530,3,33496.67,11165.556666666665,Repeat,Loyal
C0531,1,22069.73,22069.73,One-time,One-time
C0532,3,31568.059999999998,10522.686666666666,Repeat,Loyal
C0533,5,39913.79,7982.758,Repeat,Champions
C0534,3,36587.53,12195.843333333332,Repeat,Loyal
C0535,2,23811.44,11905.72,Repeat,Regular
C0536,1,21188.01,21188.01,One-time,One-time
C0537,2,27582.9,13791.45,Repeat,Regular
C0538,3,28706.07,9568.69,Repeat,Loyal
C0539,1,15701.3,15701.3,One-time,One-time
C0540,3,40910.69,13636.896666666667,Repeat,Loyal
C0541,5,92179.17,18435.834,Repeat,Champions
C0542,3,38343.11,12781.036666666667,Repeat,Loyal
C0543,5,90103.94,18020.788,Repeat,Champions
C0544,2,19982.440000000002,9991.220000000001,Repeat,Regular
C0545,5,50020.86,10004.172,Repeat,Champions
C0546,3,25964.199999999997,8654.733333333332,Repeat,Loyal
C0547,2,26829.16,13414.58,Repeat,Regular
C0548,4,66790.52,16697.63,Repeat,Loyal
C0549,4,64718.97,16179.7425,Repeat,Loyal
C0550,3,55496.28,18498.76,Repeat,Loyal
C0551,1,27274.52,27274.52,One-time,One-time
C0552,1,11622.37,11622.37,One-time,One-time
C0553,5,50999.64,10199.928,Repeat,Champions
C0554,5,94374.31,18874.862,Repeat,Champions
C0555,1,24683.39,24683.39,One-time,One-time
C0556,1,2717.22,2717.22,One-time,One-time
C0557,4,61833.200000000004,15458.300000000001,Repeat,Loyal
C0558,2,26025.45,13012.725,Repeat,Regular
C0559,4,57459.95,14364.9875,Repeat,Loyal
C0560,3,25975.68,8658.56,Repeat,Loyal
C0561,2,39270.229999999996,19635.114999999998,Repeat,Regular
C0562,5,59829.700000000004,11965.94,Repeat,Champions
C0563,1,1470.47,1470.47,One-time,One-time
C0564,1,7557.37,7557.37,One-time,One-time
C0565,2,19167.95,9583.975,Repeat,Regular
C0566,3,38886.33,12962.11,Repeat,Loyal
C0567,1,29925.22,29925.22,One-time,One-time
C0568,4,50662.22,12665.555,Repeat,Loyal
C0569,2,28640.68,14320.34,Repeat,Regular
C0570,6,110943.06999999999,18490.511666666665,Repeat,Champions
C0571,1,3563.3,3563.3,One-time,One-time
C0572,1,3492.82,3492.82,One-time,One-time
C0573,1,3361.8,3361.8,One-time,One-time
C0574,4,68172.0,17043.0,Repeat,Loyal
C0575,4,69468.23,17367.0575,Repeat,Loyal
C0576,3,48635.81,16211.936666666666,Repeat,Loyal
