order_item_id,order_id,product_id,quantity,discount,line_revenue
OI00101-3,O00101,P034,1,0.15,3463.24
OI00102-1,O00102,P049,3,0.05,7319.85
OI00103-1,O00103,P019,3,0.1,2345.79
OI00103-2,O00103,P027,1,0.0,4173.27
OI00104-1,O00104,P037,1,0.05,2768.03
OI00105-1,O00105,P044,3,0.1,12649.88
OI00105-2,O00105,P057,2,0.15,8209.93
OI00106-1,O00106,P013,1,0.0,3117.69
OI00106-2,O00106,P074,2,0.2,7218.93
OI00106-3,O00106,P005,2,0.1,8680.1
OI00106-4,O00106,P052,2,0.1,4943.25
OI00107-1,O00107,P065,2,0.0,8768.98
OI00108-1,O00108,P023,2,0.15,7650.05
OI00108-2,O00108,P014,3,0.1,6383.37
OI00108-3,O00108,P029,3,0.0,8416.77
OI00108-4,O00108,P003,2,0.1,8891.41
OI00109-1,O00109,P027,2,0.05,7929.21
OI00110-1,O00110,P020,1,0.0,1262.86
OI00110-2,O00110,P031,3,0.0,1187.34
OI00111-1,O00111,P078,2,0.0,8768.0
OI00111-2,O00111,P016,3,0.2,7138.92
OI00111-3,O00111,P047,3,0.0,10907.1
OI00111-4,O00111,P033,3,0.05,10719.85
OI00112-1,O00112,P022,2,0.05,2748.54
OI00112-2,O00112,P016,2,0.15,5056.74
OI00113-1,O00113,P053,1,0.0,4342.28
OI00113-2,O00113,P014,1,0.1,2127.79
OI00113-3,O00113,P044,3,0.2,11244.34
OI00114-1,O00114,P013,3,0.2,7482.46
OI00114-2,O00114,P027,2,0.1,7511.89
OI00115-1,O00115,P036,1,0.15,3776.0
OI00116-1,O00116,P023,2,0.15,7650.05
OI00116-2,O00116,P070,2,0.0,4378.46
OI00117-1,O00117,P047,2,0.15,6180.69
OI00117-2,O00117,P053,3,0.2,10421.47
OI00117-3,O00117,P019,3,0.15,2215.47
OI00118-1,O00118,P015,3,0.0,3763.32
OI00118-2,O00118,P043,1,0.0,3492.82
OI00118-3,O00118,P037,2,0.1,5244.7
OI00119-1,O00119,P014,1,0.15,2009.58
OI00119-2,O00119,P053,2,0.2,6947.65
OI00119-3,O00119,P066,3,0.05,4907.73
OI00119-4,O00119,P062,3,0.0,5921.49
OI00120-1,O00120,P023,3,0.1,12150.08
OI00120-2,O00120,P076,1,0.0,2054.59
OI00121-1,O00121,P027,3,0.2,10015.85
OI00122-1,O00122,P080,2,0.15,2910.55
OI00122-2,O00122,P035,3,0.05,9424.81
OI00123-1,O00123,P065,1,0.0,4384.49
OI00123-2,O00123,P059,1,0.1,1411.92
OI00123-3,O00123,P060,1,0.1,3655.79
OI00123-4,O00123,P005,3,0.0,14466.84
OI00124-1,O00124,P053,2,0.05,8250.33
OI00124-2,O00124,P037,3,0.15,7429.99
OI00124-3,O00124,P025,3,0.05,8240.52
OI00124-4,O00124,P024,3,0.0,10894.02
OI00125-1,O00125,P009,2,0.2,4948.61
OI00125-2,O00125,P026,2,0.05,8103.22
OI00125-3,O00125,P007,1,0.2,666.27
OI00126-1,O00126,P024,2,0.0,7262.68
OI00126-2,O00126,P006,3,0.15,7071.81
OI00127-1,O00127,P007,2,0.05,1582.4
OI00128-1,O00128,P006,1,0.2,2218.61
OI00128-2,O00128,P033,1,0.15,3197.15
OI00128-3,O00128,P063,2,0.15,2406.47
OI00129-1,O00129,P012,2,0.2,3391.07
OI00130-1,O00130,P025,1,0.0,2891.41
OI00130-2,O00130,P050,2,0.1,3622.05
OI00131-1,O00131,P070,3,0.2,5254.15
OI00131-2,O00131,P039,2,0.2,2534.21
OI00132-1,O00132,P078,3,0.05,12494.4
OI00132-2,O00132,P024,2,0.0,7262.68
OI00132-3,O00132,P056,2,0.15,7255.85
OI00132-4,O00132,P028,1,0.05,3672.21
OI00133-1,O00133,P014,3,0.2,5674.1
OI00133-2,O00133,P037,3,0.1,7867.04
OI00133-3,O00133,P044,3,0.0,14055.42
OI00133-4,O00133,P030,3,0.15,10334.03
OI00134-1,O00134,P040,3,0.1,7937.54
OI00134-2,O00134,P077,3,0.2,11584.22
OI00134-3,O00134,P062,2,0.2,3158.13
OI00134-4,O00134,P038,3,0.0,10246.65
OI00135-1,O00135,P005,2,0.0,9644.56
OI00135-2,O00135,P033,1,0.2,3009.08
OI00136-1,O00136,P054,1,0.0,2687.65
OI00137-1,O00137,P014,1,0.2,1891.37
OI00137-2,O00137,P011,2,0.15,7569.25
OI00137-3,O00137,P057,1,0.2,3863.5
OI00138-1,O00138,P018,1,0.2,739.14
OI00138-2,O00138,P058,2,0.0,7488.86
OI00138-3,O00138,P078,2,0.05,8329.6
OI00138-4,O00138,P030,1,0.1,3647.3
OI00139-1,O00139,P011,2,0.15,7569.25
OI00140-1,O00140,P002,2,0.1,4608.04
OI00140-2,O00140,P028,2,0.05,7344.41
OI00140-3,O00140,P046,2,0.1,2453.35
OI00140-4,O00140,P075,2,0.15,3860.05
OI00141-1,O00141,P003,1,0.2,3951.74
OI00141-2,O00141,P070,1,0.0,2189.23
OI00142-1,O00142,P017,1,0.05,1729.59
OI00143-1,O00143,P012,2,0.15,3603.01
OI00143-2,O00143,P033,2,0.05,7146.56
OI00144-1,O00144,P045,3,0.15,12320.25
OI00144-2,O00144,P020,2,0.15,2146.86
OI00144-3,O00144,P065,2,0.15,7453.63
OI00144-4,O00144,P019,2,0.15,1476.98
OI00145-1,O00145,P001,1,0.0,4747.84
OI00145-2,O00145,P025,2,0.1,5204.54
OI00145-3,O00145,P061,3,0.05,12694.27
OI00145-4,O00145,P029,1,0.1,2525.03
OI00146-1,O00146,P067,1,0.0,3746.83
OI00147-1,O00147,P040,3,0.05,8378.52
OI00147-2,O00147,P058,2,0.1,6739.97
OI00147-3,O00147,P027,3,0.15,10641.84
OI00147-4,O00147,P045,1,0.2,3865.18
OI00148-1,O00148,P059,3,0.0,4706.4
OI00149-1,O00149,P027,2,0.1,7511.89
OI00149-2,O00149,P020,3,0.2,3030.86
OI00150-1,O00150,P075,1,0.2,1816.5
OI00150-2,O00150,P065,2,0.15,7453.63
OI00150-3,O00150,P070,3,0.1,5910.92
OI00151-1,O00151,P023,1,0.2,3600.02
OI00151-2,O00151,P080,1,0.05,1626.49
OI00152-1,O00152,P028,2,0.0,7730.96
OI00153-1,O00153,P014,3,0.0,7092.63
OI00153-2,O00153,P046,1,0.05,1294.82
OI00154-1,O00154,P006,3,0.2,6655.82
OI00154-2,O00154,P017,3,0.1,4915.67
OI00154-3,O00154,P003,2,0.1,8891.41
OI00155-1,O00155,P078,3,0.2,10521.6
OI00155-2,O00155,P037,1,0.2,2330.98
OI00155-3,O00155,P014,2,0.15,4019.16
OI00155-4,O00155,P026,2,0.05,8103.22
OI00156-1,O00156,P008,3,0.0,14193.78
OI00156-2,O00156,P060,2,0.1,7311.58
OI00157-1,O00157,P049,2,0.0,5136.74
OI00157-2,O00157,P037,3,0.2,6992.93
OI00158-1,O00158,P004,2,0.1,1978.47
OI00159-1,O00159,P017,1,0.05,1729.59
OI00159-2,O00159,P069,2,0.05,8913.58
OI00160-1,O00160,P010,2,0.15,4835.29
OI00160-2,O00160,P039,3,0.2,3801.31
OI00160-3,O00160,P034,2,0.05,7741.36
OI00161-1,O00161,P010,2,0.1,5119.72
OI00161-2,O00161,P008,3,0.0,14193.78
OI00161-3,O00161,P074,1,0.0,4511.83
OI00161-4,O00161,P050,3,0.05,5734.91
OI00162-1,O00162,P061,3,0.15,11358.03
OI00163-1,O00163,P067,3,0.2,8992.39
OI00163-2,O00163,P022,1,0.2,1157.28
OI00163-3,O00163,P051,2,0.0,2924.46
OI00163-4,O00163,P066,1,0.15,1463.71
OI00164-1,O00164,P030,1,0.0,4052.56
OI00165-1,O00165,P040,2,0.15,4997.71
OI00165-2,O00165,P057,1,0.1,4346.43
OI00165-3,O00165,P041,3,0.15,6832.55
OI00165-4,O00165,P010,2,0.0,5688.58
OI00166-1,O00166,P055,1,0.1,2147.79
OI00166-2,O00166,P068,1,0.0,1429.18
OI00167-1,O00167,P012,3,0.15,5404.52
OI00167-2,O00167,P003,3,0.15,12596.16
OI00167-3,O00167,P035,1,0.1,2976.26
OI00167-4,O00167,P062,3,0.15,5033.27
OI00168-1,O00168,P020,1,0.2,1010.29
OI00168-2,O00168,P061,2,0.05,8462.85
OI00168-3,O00168,P062,3,0.05,5625.42
OI00169-1,O00169,P063,1,0.0,1415.57
OI00169-2,O00169,P075,3,0.05,6471.27
OI00169-3,O00169,P062,1,0.05,1875.14
OI00169-4,O00169,P003,1,0.1,4445.7
OI00170-1,O00170,P061,2,0.15,7572.02
OI00171-1,O00171,P027,1,0.1,3755.94
OI00171-2,O00171,P016,2,0.05,5651.65
OI00171-3,O00171,P002,1,0.0,2560.02
OI00172-1,O00172,P040,1,0.2,2351.86
OI00172-2,O00172,P019,1,0.05,825.37
OI00172-3,O00172,P028,2,0.1,6957.86
OI00172-4,O00172,P001,1,0.15,4035.66
OI00173-1,O00173,P040,3,0.0,8819.49
OI00173-2,O00173,P021,2,0.1,1377.52
OI00173-3,O00173,P045,2,0.2,7730.35
OI00174-1,O00174,P054,3,0.0,8062.95
OI00174-2,O00174,P076,1,0.05,1951.86
OI00175-1,O00175,P003,2,0.15,8397.44
OI00175-2,O00175,P044,3,0.2,11244.34
OI00176-1,O00176,P011,3,0.0,13357.5
OI00176-2,O00176,P038,1,0.1,3074.0
OI00176-3,O00176,P064,1,0.0,1950.6
OI00177-1,O00177,P074,2,0.1,8121.29
OI00177-2,O00177,P044,3,0.05,13352.65
OI00177-3,O00177,P012,2,0.1,3814.96
OI00178-1,O00178,P045,3,0.15,12320.25
OI00178-2,O00178,P070,2,0.0,4378.46
OI00178-3,O00178,P069,2,0.15,7975.31
OI00178-4,O00178,P006,3,0.2,6655.82
OI00179-1,O00179,P030,3,0.0,12157.68
OI00180-1,O00180,P009,2,0.1,5567.18
OI00181-1,O00181,P023,2,0.2,7200.05
OI00181-2,O00181,P036,3,0.15,11327.99
OI00181-3,O00181,P051,1,0.1,1316.01
OI00181-4,O00181,P014,2,0.2,3782.74
OI00182-1,O00182,P021,2,0.0,1530.58
OI00182-2,O00182,P014,3,0.0,7092.63
OI00182-3,O00182,P040,1,0.1,2645.85
OI00183-1,O00183,P062,1,0.0,1973.83
OI00184-1,O00184,P019,2,0.15,1476.98
OI00185-1,O00185,P036,2,0.15,7552.0
OI00186-1,O00186,P033,2,0.0,7522.7
OI00186-2,O00186,P049,2,0.1,4623.07
OI00187-1,O00187,P047,2,0.15,6180.69
OI00187-2,O00187,P057,1,0.2,3863.5
OI00188-1,O00188,P026,2,0.2,6823.76
OI00189-1,O00189,P005,1,0.0,4822.28
OI00189-2,O00189,P017,1,0.15,1547.53
OI00190-1,O00190,P056,1,0.2,3414.52
OI00190-2,O00190,P062,2,0.2,3158.13
OI00191-1,O00191,P043,1,0.1,3143.54
OI00191-2,O00191,P035,2,0.1,5952.51
OI00191-3,O00191,P064,2,0.1,3511.08
OI00192-1,O00192,P066,3,0.0,5166.03
OI00192-2,O00192,P024,3,0.2,8715.22
OI00193-1,O00193,P027,3,0.0,12519.81
OI00193-2,O00193,P051,2,0.0,2924.46
OI00193-3,O00193,P029,1,0.05,2665.31
OI00194-1,O00194,P026,2,0.15,7250.25
OI00195-1,O00195,P048,3,0.05,11872.3
OI00195-2,O00195,P080,2,0.1,3081.76
OI00195-3,O00195,P033,2,0.2,6018.16
OI00196-1,O00196,P051,1,0.0,1462.23
OI00196-2,O00196,P080,2,0.15,2910.55
OI00196-3,O00196,P024,3,0.2,8715.22
OI00197-1,O00197,P001,3,0.0,14243.52
OI00197-2,O00197,P005,3,0.05,13743.5
OI00198-1,O00198,P043,3,0.0,10478.46
OI00198-2,O00198,P028,3,0.1,10436.8
OI00199-1,O00199,P022,2,0.2,2314.56
OI00200-1,O00200,P073,1,0.0,1263.86
OI00200-2,O00200,P010,2,0.15,4835.29
OI00201-1,O00201,P023,2,0.15,7650.05
OI00202-1,O00202,P012,3,0.2,5086.61
OI00203-1,O00203,P080,1,0.1,1540.88
OI00203-2,O00203,P022,2,0.0,2893.2
OI00203-3,O00203,P017,1,0.0,1820.62
OI00203-4,O00203,P030,3,0.1,10941.91
OI00204-1,O00204,P006,2,0.0,5546.52
OI00204-2,O00204,P061,1,0.05,4231.42
OI00204-3,O00204,P040,1,0.0,2939.83
OI00204-4,O00204,P038,1,0.0,3415.55
OI00205-1,O00205,P075,1,0.15,1930.03
OI00205-2,O00205,P052,2,0.05,5217.88
OI00205-3,O00205,P045,1,0.0,4831.47
OI00206-1,O00206,P007,2,0.1,1499.11
OI00206-2,O00206,P077,3,0.1,13032.25
OI00206-3,O00206,P029,3,0.0,8416.77
OI00207-1,O00207,P069,2,0.0,9382.72
OI00207-2,O00207,P034,2,0.0,8148.8
OI00208-1,O00208,P048,1,0.15,3540.86
OI00208-2,O00208,P033,3,0.05,10719.85
OI00209-1,O00209,P005,2,0.0,9644.56
OI00209-2,O00209,P024,1,0.15,3086.64
OI00210-1,O00210,P076,3,0.05,5855.58
OI00210-2,O00210,P026,3,0.05,12154.82
OI00210-3,O00210,P014,2,0.0,4728.42
OI00210-4,O00210,P016,3,0.0,8923.65
OI00211-1,O00211,P061,1,0.15,3786.01
OI00211-2,O00211,P042,2,0.05,1621.56
OI00212-1,O00212,P068,3,0.1,3858.79
OI00212-2,O00212,P004,1,0.15,934.28
OI00212-3,O00212,P008,1,0.0,4731.26
OI00213-1,O00213,P017,1,0.2,1456.5
OI00213-2,O00213,P013,3,0.0,9353.07
OI00213-3,O00213,P069,3,0.05,13370.38
OI00214-1,O00214,P070,3,0.0,6567.69
OI00214-2,O00214,P047,3,0.05,10361.74
OI00214-3,O00214,P025,2,0.0,5782.82
OI00214-4,O00214,P016,2,0.1,5354.19
OI00215-1,O00215,P077,1,0.2,3861.41
OI00215-2,O00215,P020,1,0.2,1010.29
OI00215-3,O00215,P056,3,0.2,10243.56
OI00216-1,O00216,P039,3,0.2,3801.31
OI00216-2,O00216,P041,1,0.15,2277.52
OI00216-3,O00216,P014,1,0.15,2009.58
OI00216-4,O00216,P067,3,0.15,9554.42
OI00217-1,O00217,P006,1,0.05,2634.6
OI00217-2,O00217,P030,3,0.2,9726.14
OI00218-1,O00218,P055,1,0.0,2386.43
OI00218-2,O00218,P006,1,0.15,2357.27
OI00219-1,O00219,P072,1,0.05,1470.47
OI00220-1,O00220,P060,2,0.05,7717.78
OI00220-2,O00220,P008,2,0.2,7570.02
OI00220-3,O00220,P047,2,0.15,6180.69
OI00221-1,O00221,P038,1,0.1,3074.0
OI00221-2,O00221,P034,2,0.0,8148.8
OI00221-3,O00221,P037,1,0.0,2913.72
OI00222-1,O00222,P034,2,0.05,7741.36
OI00222-2,O00222,P026,3,0.0,12794.55
OI00222-3,O00222,P043,3,0.1,9430.61
OI00223-1,O00223,P019,3,0.05,2476.11
OI00223-2,O00223,P050,3,0.2,4829.4
OI00224-1,O00224,P079,1,0.1,1592.43
OI00224-2,O00224,P045,2,0.2,7730.35
OI00224-3,O00224,P027,3,0.1,11267.83
